,BILL DATE,SOLD TO PARTY,QTY(1000 SM3),INDUSTORY SECTOR,Receiving Point,Start Date,End Date,Average Temperature,Difference,holiday_count
5820932,2022-12-31,10226,4205.116,Power Industry,"Dahej, Gujarat",2022-12-30,2022-12-31,22.391666666666666,0 days,0
5826599,2023-01-15,10226,3819.9,Power Industry,"Dahej, Gujarat",2022-12-31,2023-01-15,21.67083333333333,0 days,1
5832677,2023-01-31,10226,4027.183,Power Industry,"Dahej, Gujarat",2023-01-15,2023-01-31,21.66617647058824,0 days,1
5835845,2023-02-15,10226,3917.448,Power Industry,"Dahej, Gujarat",2023-01-31,2023-02-15,25.0640625,0 days,0
5838180,2023-02-28,10226,3363.038,Power Industry,"Dahej, Gujarat",2023-02-15,2023-02-28,27.21279761904762,0 days,0
5841348,2023-03-15,10226,3941.662,Power Industry,"Dahej, Gujarat",2023-02-28,2023-03-15,29.86328125,0 days,1
5844351,2023-03-30,10226,0.0,Power Industry,"Dahej, Gujarat",2023-03-15,2023-03-30,27.345572916666665,0 days,0
5842851,2023-03-31,10226,1521.442,Power Industry,"Dahej, Gujarat",2023-03-30,2023-03-31,26.697916666666668,0 days,0
786295,2019-04-15,10272,383.456,Power Industry,"Delhi, India",2019-04-15,2019-04-15,31.7875,0 days,0
795715,2019-04-30,10272,7731.279,Power Industry,"Krishna, Andhra Pradesh",2019-04-15,2019-04-30,32.01979166666667,0 days,2
803611,2019-05-15,10272,7602.781,Power Industry,"Krishna, Andhra Pradesh",2019-04-30,2019-05-15,33.795572916666664,0 days,1
814004,2019-05-31,10272,6730.482,Power Industry,"Krishna, Andhra Pradesh",2019-05-15,2019-05-31,33.73529411764706,0 days,0
819005,2019-06-15,10272,7101.763,Power Industry,"Krishna, Andhra Pradesh",2019-05-31,2019-06-15,34.20625,0 days,3
835220,2019-06-30,10272,6789.156,Power Industry,"Krishna, Andhra Pradesh",2019-06-15,2019-06-30,31.726822916666663,0 days,0
848977,2019-07-04,10272,1467.829,Power Industry,"Krishna, Andhra Pradesh",2019-06-30,2019-07-04,29.404166666666665,0 days,0
929043,2019-09-30,10272,0.0,Power Industry,"Delhi, India",2019-09-30,2019-09-30,25.466666666666665,0 days,4
2268403,2019-10-15,10272,4838.964,Power Industry,"Krishna, Andhra Pradesh",2019-09-30,2019-10-15,26.953645833333333,0 days,1
2286672,2019-10-31,10272,7313.635,Power Industry,"Krishna, Andhra Pradesh",2019-10-15,2019-10-31,26.15,0 days,1
2317382,2019-11-15,10272,7281.943,Power Industry,"Krishna, Andhra Pradesh",2019-10-31,2019-11-15,26.608072916666668,0 days,1
2328356,2019-11-30,10272,7490.944,Power Industry,"Krishna, Andhra Pradesh",2019-11-15,2019-11-30,26.135416666666668,0 days,0
2346149,2019-12-15,10272,7024.536,Power Industry,"Krishna, Andhra Pradesh",2019-11-30,2019-12-15,25.097395833333334,0 days,0
2361084,2019-12-31,10272,8103.783,Power Industry,"Krishna, Andhra Pradesh",2019-12-15,2019-12-31,24.749019607843135,0 days,1
2393022,2020-01-15,10272,7186.795,Power Industry,"Krishna, Andhra Pradesh",2019-12-31,2020-01-15,24.276822916666667,0 days,1
2412497,2020-01-31,10272,7237.235,Power Industry,"Krishna, Andhra Pradesh",2020-01-15,2020-01-31,25.59828431372549,0 days,1
2431984,2020-02-15,10272,7027.813,Power Industry,"Krishna, Andhra Pradesh",2020-01-31,2020-02-15,25.85625,0 days,0
2451452,2020-02-29,10272,6227.433,Power Industry,"Krishna, Andhra Pradesh",2020-02-15,2020-02-29,26.601944444444445,0 days,0
2464505,2020-03-15,10272,7111.665,Power Industry,"Krishna, Andhra Pradesh",2020-02-29,2020-03-15,27.785677083333333,0 days,1
2494959,2020-03-31,10272,7839.087,Power Industry,"Krishna, Andhra Pradesh",2020-03-15,2020-03-31,29.83333333333333,0 days,0
3868616,2020-04-15,10272,11864.097,Power Industry,"Krishna, Andhra Pradesh",2020-03-31,2020-04-15,31.058333333333334,0 days,3
3871934,2020-04-30,10272,12915.383,Power Industry,"Krishna, Andhra Pradesh",2020-04-15,2020-04-30,31.38411458333333,0 days,0
3876026,2020-05-15,10272,10576.742,Power Industry,"Krishna, Andhra Pradesh",2020-03-31,2020-05-15,31.598641304347822,0 days,1
3881413,2020-05-31,10272,7855.017,Power Industry,"Krishna, Andhra Pradesh",2020-05-15,2020-05-31,33.710539215686275,0 days,3
3885969,2020-06-15,10272,6927.112,Power Industry,"Krishna, Andhra Pradesh",2020-05-31,2020-06-15,30.9625,0 days,1
3888460,2020-06-30,10272,6851.333,Power Industry,"Krishna, Andhra Pradesh",2020-06-15,2020-06-30,29.398177083333334,0 days,0
3894681,2020-07-15,10272,4402.016,Power Industry,"Krishna, Andhra Pradesh",2020-06-30,2020-07-15,28.195833333333333,0 days,0
3914192,2020-08-15,10272,3.593,Power Industry,"Krishna, Andhra Pradesh",2020-07-31,2020-08-15,27.72421875,0 days,3
3919782,2020-08-31,10272,853.08,Power Industry,"Krishna, Andhra Pradesh",2020-08-15,2020-08-31,27.629656862745097,0 days,2
3923512,2020-09-15,10272,4915.237,Power Industry,"Krishna, Andhra Pradesh",2020-09-15,2020-09-15,26.391666666666666,0 days,0
3933049,2020-09-30,10272,6735.094,Power Industry,"Krishna, Andhra Pradesh",2020-09-15,2020-09-30,27.496354166666663,0 days,0
4646353,2021-10-15,10272,0.001,Power Industry,"Krishna, Andhra Pradesh",2020-09-30,2021-10-15,27.84022309711286,0 days,19
4646976,2021-10-31,10272,3557.38,Power Industry,"Krishna, Andhra Pradesh",2021-10-15,2021-10-31,27.13921568627451,0 days,1
4648635,2021-11-15,10272,2.299,Power Industry,"Krishna, Andhra Pradesh",2021-10-31,2021-11-15,25.2234375,0 days,1
4649691,2021-11-30,10272,3.986,Power Industry,"Krishna, Andhra Pradesh",2021-11-15,2021-11-30,25.522135416666668,0 days,0
4650726,2021-12-15,10272,1.703,Power Industry,"Krishna, Andhra Pradesh",2021-11-30,2021-12-15,24.76796875,0 days,0
4651779,2021-12-31,10272,2.125,Power Industry,"Krishna, Andhra Pradesh",2021-12-15,2021-12-31,22.88995098039216,0 days,1
746264,2019-04-15,10282,23895.913,Power Industry,"Mumbai, Maharashtra",2019-04-15,2019-04-15,29.370833333333334,0 days,0
748029,2019-04-30,10282,23808.193,Power Industry,"Mumbai, Maharashtra",2019-04-15,2019-04-30,28.609635416666663,0 days,2
748289,2019-05-15,10282,25202.12,Power Industry,"Mumbai, Maharashtra",2019-04-30,2019-05-15,28.544010416666666,0 days,1
749374,2019-05-31,10282,25149.757,Power Industry,"Mumbai, Maharashtra",2019-05-15,2019-05-31,29.449264705882356,0 days,0
752536,2019-06-15,10282,22343.193,Power Industry,"Mumbai, Maharashtra",2019-05-31,2019-06-15,29.622916666666665,0 days,3
756523,2019-06-30,10282,26598.323,Power Industry,"Mumbai, Maharashtra",2019-06-15,2019-06-30,27.66015625,0 days,0
758933,2019-07-15,10282,32019.542,Power Industry,"Mumbai, Maharashtra",2019-06-30,2019-07-15,26.6703125,0 days,0
762022,2019-07-31,10282,35683.624,Power Industry,"Mumbai, Maharashtra",2019-07-15,2019-07-31,26.86813725490196,0 days,0
765936,2019-08-15,10282,33314.929,Power Industry,"Mumbai, Maharashtra",2019-07-31,2019-08-15,26.55234375,0 days,3
769098,2019-08-31,10282,24251.547,Power Industry,"Mumbai, Maharashtra",2019-08-15,2019-08-31,26.611274509803923,0 days,1
773093,2019-09-15,10282,6137.61,Power Industry,"Mumbai, Maharashtra",2019-08-31,2019-09-15,26.402604166666663,0 days,1
778332,2019-09-30,10282,21482.148,Power Industry,"Mumbai, Maharashtra",2019-09-15,2019-09-30,26.71015625,0 days,0
2209371,2019-10-15,10282,34114.483,Power Industry,"Mumbai, Maharashtra",2019-09-30,2019-10-15,27.78020833333333,0 days,1
2215352,2019-10-31,10282,42571.221,Power Industry,"Mumbai, Maharashtra",2019-10-15,2019-10-31,26.97279411764706,0 days,1
2221341,2019-11-15,10282,29645.279,Power Industry,"Mumbai, Maharashtra",2019-10-31,2019-11-15,26.86067708333333,0 days,1
2225830,2019-11-30,10282,35745.284,Power Industry,"Mumbai, Maharashtra",2019-11-15,2019-11-30,27.101302083333334,0 days,0
2231892,2019-12-15,10282,26690.805,Power Industry,"Mumbai, Maharashtra",2019-11-30,2019-12-15,26.572135416666665,0 days,0
2236307,2019-12-31,10282,23028.694,Power Industry,"Mumbai, Maharashtra",2019-12-15,2019-12-31,25.204166666666666,0 days,1
2242455,2020-01-15,10282,19039.364,Power Industry,"Mumbai, Maharashtra",2019-12-31,2020-01-15,23.19296875,0 days,1
2245544,2020-01-31,10282,23548.561,Power Industry,"Mumbai, Maharashtra",2020-01-15,2020-01-31,22.94264705882353,0 days,1
2247954,2020-02-15,10282,30420.677,Power Industry,"Mumbai, Maharashtra",2020-01-31,2020-02-15,24.44296875,0 days,0
2252109,2020-02-29,10282,32483.749,Power Industry,"Mumbai, Maharashtra",2020-02-15,2020-02-29,26.079722222222223,0 days,0
2255355,2020-03-15,10282,27429.015,Power Industry,"Mumbai, Maharashtra",2020-02-29,2020-03-15,24.547135416666663,0 days,1
2263588,2020-03-31,10282,24175.182,Power Industry,"Mumbai, Maharashtra",2020-03-15,2020-03-31,27.47426470588235,0 days,0
3808507,2020-04-15,10282,25506.529,Power Industry,"Mumbai, Maharashtra",2020-03-31,2020-04-15,28.137760416666666,0 days,3
3813746,2020-04-30,10282,23133.129,Power Industry,"Mumbai, Maharashtra",2020-04-15,2020-04-30,29.4890625,0 days,0
3817828,2020-05-15,10282,22295.904,Power Industry,"Mumbai, Maharashtra",2020-04-30,2020-05-15,29.72734375,0 days,1
3819081,2020-05-31,10282,19313.177,Power Industry,"Mumbai, Maharashtra",2020-05-15,2020-05-31,30.23112745098039,0 days,3
3823568,2020-06-15,10282,10407.752,Power Industry,"Mumbai, Maharashtra",2020-05-31,2020-06-15,27.804166666666667,0 days,1
3829895,2020-06-30,10282,11081.29,Power Industry,"Mumbai, Maharashtra",2020-06-15,2020-06-30,27.604947916666667,0 days,0
3832305,2020-07-15,10282,11588.536,Power Industry,"Mumbai, Maharashtra",2020-06-30,2020-07-15,27.023177083333334,0 days,0
3838053,2020-07-31,10282,11717.836,Power Industry,"Mumbai, Maharashtra",2020-07-15,2020-07-31,26.99019607843137,0 days,1
3841296,2020-08-15,10282,15997.569,Power Industry,"Mumbai, Maharashtra",2020-07-31,2020-08-15,26.81875,0 days,3
3845375,2020-08-31,10282,24498.721,Power Industry,"Mumbai, Maharashtra",2020-08-15,2020-08-31,26.308333333333334,0 days,2
3858671,2020-09-15,10282,22742.599,Power Industry,"Mumbai, Maharashtra",2020-08-31,2020-09-15,27.29140625,0 days,0
3864162,2020-09-30,10282,17541.222,Power Industry,"Mumbai, Maharashtra",2020-09-15,2020-09-30,26.81145833333333,0 days,0
4622332,2021-10-15,10282,22315.076,Power Industry,"Mumbai, Maharashtra",2020-09-30,2021-10-15,26.947386264216973,0 days,19
4623355,2021-10-31,10282,25076.623,Power Industry,"Mumbai, Maharashtra",2021-10-15,2021-10-31,27.223529411764705,0 days,1
4623710,2021-11-15,10282,24624.226,Power Industry,"Mumbai, Maharashtra",2021-10-31,2021-11-15,27.1640625,0 days,1
4624368,2021-11-30,10282,21124.706,Power Industry,"Mumbai, Maharashtra",2021-11-15,2021-11-30,27.263541666666665,0 days,0
4626896,2021-12-15,10282,18375.734,Power Industry,"Mumbai, Maharashtra",2021-11-30,2021-12-15,24.620572916666667,0 days,0
4629642,2021-12-31,10282,25683.281,Power Industry,"Mumbai, Maharashtra",2021-12-15,2021-12-31,23.15196078431373,0 days,1
4629902,2022-01-15,10282,17776.671,Power Industry,"Mumbai, Maharashtra",2021-12-31,2022-01-15,22.82239583333333,0 days,1
4634652,2022-01-31,10282,25455.377,Power Industry,"Mumbai, Maharashtra",2022-01-15,2022-01-31,22.58333333333333,0 days,1
4637157,2022-02-15,10282,27467.401,Power Industry,"Mumbai, Maharashtra",2022-01-31,2022-02-15,22.74609375,0 days,0
4637418,2022-02-28,10282,19652.125,Power Industry,"Mumbai, Maharashtra",2022-02-15,2022-02-28,24.13571428571429,0 days,0
4640005,2022-03-15,10282,13541.921,Power Industry,"Mumbai, Maharashtra",2022-02-28,2022-03-15,28.043489583333333,0 days,0
4642668,2022-03-31,10282,27116.571,Power Industry,"Mumbai, Maharashtra",2022-03-15,2022-03-31,28.4578431372549,0 days,1
5283014,2022-04-15,10282,24909.605,Power Industry,"Mumbai, Maharashtra",2022-03-31,2022-04-15,28.238802083333333,0 days,2
5283347,2022-04-30,10282,24838.838,Power Industry,"Mumbai, Maharashtra",2022-04-15,2022-04-30,29.86796875,0 days,2
5289911,2022-05-15,10282,27801.624,Power Industry,"Mumbai, Maharashtra",2022-04-30,2022-05-15,29.730208333333334,0 days,3
5302779,2022-05-31,10282,15329.574,Power Industry,"Mumbai, Maharashtra",2022-05-15,2022-05-31,30.11936274509804,0 days,0
5303039,2022-06-15,10282,17182.436,Power Industry,"Mumbai, Maharashtra",2022-05-31,2022-06-15,28.9328125,0 days,1
5311753,2022-06-30,10282,15682.516,Power Industry,"Mumbai, Maharashtra",2022-06-15,2022-06-30,26.95598958333333,0 days,0
5320394,2022-07-15,10282,15863.761,Power Industry,"Mumbai, Maharashtra",2022-06-30,2022-07-15,25.8515625,0 days,2
5322806,2022-07-31,10282,13456.553,Power Industry,"Mumbai, Maharashtra",2022-07-15,2022-07-31,26.58529411764706,0 days,0
5323063,2022-08-15,10282,20816.903,Power Industry,"Mumbai, Maharashtra",2022-07-31,2022-08-15,26.67890625,0 days,2
5325546,2022-08-31,10282,18820.242,Power Industry,"Mumbai, Maharashtra",2022-08-15,2022-08-31,26.367401960784317,0 days,1
5327884,2022-09-15,10282,13610.547,Power Industry,"Mumbai, Maharashtra",2022-08-31,2022-09-15,26.90859375,0 days,0
5328290,2022-09-30,10282,11310.13,Power Industry,"Mumbai, Maharashtra",2022-09-15,2022-09-30,25.751822916666665,0 days,0
5941232,2022-10-15,10282,12151.477,Power Industry,"Mumbai, Maharashtra",2022-09-30,2022-10-15,26.653125,0 days,2
5943642,2022-10-31,10282,12488.642,Power Industry,"Mumbai, Maharashtra",2022-10-15,2022-10-31,26.25808823529412,0 days,1
5943975,2022-11-15,10282,9920.696,Power Industry,"Mumbai, Maharashtra",2022-10-31,2022-11-15,26.128645833333334,0 days,0
5944381,2022-11-30,10282,18381.639,Power Industry,"Mumbai, Maharashtra",2022-11-15,2022-11-30,25.484114583333334,0 days,0
5944641,2022-12-15,10282,20539.403,Power Industry,"Mumbai, Maharashtra",2022-11-30,2022-12-15,26.194791666666667,0 days,0
5944974,2022-12-31,10282,12607.067,Power Industry,"Mumbai, Maharashtra",2022-12-15,2022-12-31,24.882598039215686,0 days,1
5945307,2023-01-15,10282,20705.059,Power Industry,"Mumbai, Maharashtra",2022-12-31,2023-01-15,23.1203125,0 days,1
5945640,2023-01-31,10282,19594.541,Power Industry,"Mumbai, Maharashtra",2023-01-15,2023-01-31,22.354901960784314,0 days,1
5945973,2023-02-15,10282,21687.237,Power Industry,"Mumbai, Maharashtra",2023-01-31,2023-02-15,25.310416666666665,0 days,0
5946306,2023-02-28,10282,11410.936,Power Industry,"Mumbai, Maharashtra",2023-02-15,2023-02-28,26.38422619047619,0 days,0
5946712,2023-03-15,10282,19647.194,Power Industry,"Mumbai, Maharashtra",2023-02-28,2023-03-15,28.4296875,0 days,1
5951199,2023-03-31,10282,12741.08,Power Industry,"Mumbai, Maharashtra",2023-03-15,2023-03-31,26.26936274509804,0 days,0
943569,2019-04-15,10307,450.815,Power Industry,"Mumbai, Maharashtra",2019-04-15,2019-04-15,29.370833333333334,0 days,0
963617,2019-04-30,10307,468.865,Power Industry,"Mumbai, Maharashtra",2019-04-15,2019-04-30,28.609635416666663,0 days,2
994122,2019-05-15,10307,337.107,Power Industry,"Mumbai, Maharashtra",2019-04-30,2019-05-15,28.544010416666666,0 days,1
1010755,2019-05-31,10307,292.823,Power Industry,"Mumbai, Maharashtra",2019-05-15,2019-05-31,29.449264705882356,0 days,0
1031283,2019-06-15,10307,292.757,Power Industry,"Mumbai, Maharashtra",2019-05-31,2019-06-15,29.622916666666665,0 days,3
1046050,2019-06-30,10307,286.466,Power Industry,"Mumbai, Maharashtra",2019-06-15,2019-06-30,27.66015625,0 days,0
1066578,2019-07-15,10307,279.191,Power Industry,"Mumbai, Maharashtra",2019-06-30,2019-07-15,26.6703125,0 days,0
1085499,2019-07-31,10307,317.15,Power Industry,"Mumbai, Maharashtra",2019-07-15,2019-07-31,26.86813725490196,0 days,0
1110651,2019-08-15,10307,459.998,Power Industry,"Mumbai, Maharashtra",2019-07-31,2019-08-15,26.55234375,0 days,3
1129831,2019-08-31,10307,362.928,Power Industry,"Mumbai, Maharashtra",2019-08-15,2019-08-31,26.611274509803923,0 days,1
1154772,2019-09-15,10307,472.5,Power Industry,"Mumbai, Maharashtra",2019-08-31,2019-09-15,26.402604166666663,0 days,1
1171405,2019-09-30,10307,374.108,Power Industry,"Mumbai, Maharashtra",2019-09-15,2019-09-30,26.71015625,0 days,0
2511675,2019-10-15,10307,467.476,Power Industry,"Mumbai, Maharashtra",2019-09-30,2019-10-15,27.78020833333333,0 days,1
2529916,2019-10-31,10307,440.128,Power Industry,"Mumbai, Maharashtra",2019-10-15,2019-10-31,26.97279411764706,0 days,1
2552778,2019-11-15,10307,472.5,Power Industry,"Mumbai, Maharashtra",2019-10-31,2019-11-15,26.86067708333333,0 days,1
2569413,2019-11-30,10307,472.5,Power Industry,"Mumbai, Maharashtra",2019-11-15,2019-11-30,27.101302083333334,0 days,0
2594352,2019-12-15,10307,415.821,Power Industry,"Mumbai, Maharashtra",2019-11-30,2019-12-15,26.572135416666665,0 days,0
2613533,2019-12-31,10307,504.0,Power Industry,"Mumbai, Maharashtra",2019-12-15,2019-12-31,25.204166666666666,0 days,1
2644038,2020-01-15,10307,474.75,Power Industry,"Mumbai, Maharashtra",2019-12-31,2020-01-15,23.19296875,0 days,1
2666705,2020-01-31,10307,504.0,Power Industry,"Mumbai, Maharashtra",2020-01-15,2020-01-31,22.94264705882353,0 days,1
2701834,2020-02-15,10307,472.5,Power Industry,"Mumbai, Maharashtra",2020-01-31,2020-02-15,24.44296875,0 days,0
2728655,2020-02-29,10307,398.163,Power Industry,"Mumbai, Maharashtra",2020-02-15,2020-02-29,26.079722222222223,0 days,0
2759630,2020-03-15,10307,472.5,Power Industry,"Mumbai, Maharashtra",2020-02-29,2020-03-15,24.547135416666663,0 days,1
2782297,2020-03-31,10307,240.243,Power Industry,"Mumbai, Maharashtra",2020-03-15,2020-03-31,27.47426470588235,0 days,0
3943526,2020-04-15,10307,0.903,Power Industry,"Mumbai, Maharashtra",2020-03-31,2020-04-15,28.137760416666666,0 days,3
3955715,2020-04-30,10307,1.411,Power Industry,"Mumbai, Maharashtra",2020-04-15,2020-04-30,29.4890625,0 days,0
3972058,2020-05-15,10307,0.257,Power Industry,"Mumbai, Maharashtra",2020-04-30,2020-05-15,29.72734375,0 days,1
4025497,2020-06-30,10307,0.265,Power Industry,"Mumbai, Maharashtra",2020-06-15,2020-06-30,27.604947916666667,0 days,3
4045911,2020-07-15,10307,462.858,Power Industry,"Mumbai, Maharashtra",2020-06-30,2020-07-15,27.023177083333334,0 days,0
4062430,2020-07-31,10307,365.594,Power Industry,"Mumbai, Maharashtra",2020-07-15,2020-07-31,26.99019607843137,0 days,1
4080556,2020-08-15,10307,472.5,Power Industry,"Mumbai, Maharashtra",2020-07-31,2020-08-15,26.81875,0 days,3
4089434,2020-08-31,10307,505.902,Power Industry,"Mumbai, Maharashtra",2020-08-15,2020-08-31,26.308333333333334,0 days,2
4103520,2020-09-15,10307,472.086,Power Industry,"Mumbai, Maharashtra",2020-08-31,2020-09-15,27.29140625,0 days,0
4119626,2020-09-30,10307,471.904,Power Industry,"Mumbai, Maharashtra",2020-09-15,2020-09-30,26.81145833333333,0 days,0
4663052,2021-10-15,10307,475.284,Power Industry,"Mumbai, Maharashtra",2020-09-30,2021-10-15,26.947386264216973,0 days,19
4677815,2021-10-31,10307,504.0,Power Industry,"Mumbai, Maharashtra",2021-10-15,2021-10-31,27.223529411764705,0 days,1
4698813,2021-11-15,10307,472.5,Power Industry,"Mumbai, Maharashtra",2021-10-31,2021-11-15,27.1640625,0 days,1
4713580,2021-11-30,10307,472.5,Power Industry,"Mumbai, Maharashtra",2021-11-15,2021-11-30,27.263541666666665,0 days,0
4726271,2021-12-15,10307,489.393,Power Industry,"Mumbai, Maharashtra",2021-11-30,2021-12-15,24.620572916666667,0 days,0
4741038,2021-12-31,10307,483.166,Power Industry,"Mumbai, Maharashtra",2021-12-15,2021-12-31,23.15196078431373,0 days,1
4751181,2022-01-15,10307,526.374,Power Industry,"Mumbai, Maharashtra",2021-12-31,2022-01-15,22.82239583333333,0 days,1
4763871,2022-01-31,10307,588.758,Power Industry,"Mumbai, Maharashtra",2022-01-15,2022-01-31,22.58333333333333,0 days,1
4776091,2022-02-15,10307,488.461,Power Industry,"Mumbai, Maharashtra",2022-01-31,2022-02-15,22.74609375,0 days,0
4790859,2022-02-28,10307,469.369,Power Industry,"Mumbai, Maharashtra",2022-02-15,2022-02-28,24.13571428571429,0 days,0
4806094,2022-03-15,10307,445.964,Power Industry,"Mumbai, Maharashtra",2022-02-28,2022-03-15,28.043489583333333,0 days,0
4825486,2022-03-31,10307,503.878,Power Industry,"Mumbai, Maharashtra",2022-03-15,2022-03-31,28.4578431372549,0 days,1
5348377,2022-04-15,10307,464.246,Power Industry,"Mumbai, Maharashtra",2022-03-31,2022-04-15,28.238802083333333,0 days,2
5364084,2022-04-30,10307,478.579,Power Industry,"Mumbai, Maharashtra",2022-04-15,2022-04-30,29.86796875,0 days,2
5378232,2022-05-15,10307,478.125,Power Industry,"Mumbai, Maharashtra",2022-04-30,2022-05-15,29.730208333333334,0 days,3
5390044,2022-05-31,10307,525.712,Power Industry,"Mumbai, Maharashtra",2022-05-15,2022-05-31,30.11936274509804,0 days,0
5408557,2022-06-15,10307,468.021,Power Industry,"Mumbai, Maharashtra",2022-05-31,2022-06-15,28.9328125,0 days,1
5423386,2022-06-30,10307,472.5,Power Industry,"Mumbai, Maharashtra",2022-06-15,2022-06-30,26.95598958333333,0 days,0
5446523,2022-07-15,10307,472.5,Power Industry,"Mumbai, Maharashtra",2022-06-30,2022-07-15,25.8515625,0 days,2
5458337,2022-07-31,10307,504.0,Power Industry,"Mumbai, Maharashtra",2022-07-15,2022-07-31,26.58529411764706,0 days,0
5489163,2022-08-15,10307,472.5,Power Industry,"Mumbai, Maharashtra",2022-07-31,2022-08-15,26.67890625,0 days,2
5500454,2022-08-31,10307,501.654,Power Industry,"Mumbai, Maharashtra",2022-08-15,2022-08-31,26.367401960784317,0 days,1
5530082,2022-09-15,10307,471.878,Power Industry,"Mumbai, Maharashtra",2022-08-31,2022-09-15,26.90859375,0 days,0
5542623,2022-09-30,10307,472.5,Power Industry,"Mumbai, Maharashtra",2022-09-15,2022-09-30,25.751822916666665,0 days,0
5972880,2022-10-15,10307,188.721,Power Industry,"Mumbai, Maharashtra",2022-09-30,2022-10-15,26.653125,0 days,2
5979809,2022-10-31,10307,102.82,Power Industry,"Mumbai, Maharashtra",2022-10-15,2022-10-31,26.25808823529412,0 days,1
5987208,2022-11-15,10307,288.754,Power Industry,"Mumbai, Maharashtra",2022-10-31,2022-11-15,26.128645833333334,0 days,0
5993197,2022-11-30,10307,244.772,Power Industry,"Mumbai, Maharashtra",2022-11-15,2022-11-30,25.484114583333334,0 days,0
5999186,2022-12-15,10307,237.536,Power Industry,"Mumbai, Maharashtra",2022-11-30,2022-12-15,26.194791666666667,0 days,0
6005175,2022-12-31,10307,385.203,Power Industry,"Mumbai, Maharashtra",2022-12-15,2022-12-31,24.882598039215686,0 days,1
6010580,2023-01-15,10307,354.379,Power Industry,"Mumbai, Maharashtra",2022-12-31,2023-01-15,23.1203125,0 days,1
6017623,2023-01-31,10307,291.647,Power Industry,"Mumbai, Maharashtra",2023-01-15,2023-01-31,22.354901960784314,0 days,1
6023142,2023-02-15,10307,267.31,Power Industry,"Mumbai, Maharashtra",2023-01-31,2023-02-15,25.310416666666665,0 days,0
6028920,2023-02-28,10307,324.612,Power Industry,"Mumbai, Maharashtra",2023-02-15,2023-02-28,26.38422619047619,0 days,0
6035168,2023-03-15,10307,195.993,Power Industry,"Mumbai, Maharashtra",2023-02-28,2023-03-15,28.4296875,0 days,1
6047401,2023-03-30,10307,0.0,Power Industry,"Mumbai, Maharashtra",2023-03-15,2023-03-30,26.276041666666668,0 days,0
6041416,2023-03-31,10307,139.405,Power Industry,"Mumbai, Maharashtra",2023-03-15,2023-03-31,26.26936274509804,0 days,0
400355,2019-04-15,10331,61.365,Power Industry,"Dahej, Gujarat",2019-04-15,2019-04-15,33.6875,0 days,0
400922,2019-04-30,10331,610.0,Power Industry,"Hazira, Gujarat",2019-04-15,2019-04-30,31.020052083333333,0 days,2
405838,2019-05-15,10331,5920.0,Power Industry,"Hazira, Gujarat",2019-04-30,2019-05-15,28.9140625,0 days,1
409346,2019-05-31,10331,1380.273,Power Industry,"Hazira, Gujarat",2019-05-15,2019-05-31,30.42328431372549,0 days,0
412847,2019-06-15,10331,6336.347,Power Industry,"Dahej, Gujarat",2019-05-31,2019-06-15,30.99036458333333,0 days,3
415685,2019-06-30,10331,3333.515,Power Industry,"Dahej, Gujarat",2019-06-15,2019-06-30,29.278385416666666,0 days,0
417866,2019-07-15,10331,144.943,Power Industry,"Hazira, Gujarat",2019-06-30,2019-07-15,27.934635416666666,0 days,0
420857,2019-07-31,10331,1574.245,Power Industry,"Dahej, Gujarat",2019-07-15,2019-07-31,28.93455882352941,0 days,0
422361,2019-08-31,10331,1045.473,Power Industry,"Dahej, Gujarat",2019-08-15,2019-08-31,27.617156862745095,0 days,3
424531,2019-09-15,10331,1713.776,Power Industry,"Dahej, Gujarat",2019-08-31,2019-09-15,27.544791666666665,0 days,1
425386,2019-09-30,10331,0.0,Power Industry,"Hazira, Gujarat",2019-09-15,2019-09-30,27.576822916666668,0 days,0
1746636,2019-10-15,10331,1129.881,Power Industry,"Dahej, Gujarat",2019-09-30,2019-10-15,28.384635416666665,0 days,1
1748804,2019-10-31,10331,745.303,Power Industry,"Dahej, Gujarat",2019-10-15,2019-10-31,28.47377450980392,0 days,1
1749639,2019-11-15,10331,642.659,Power Industry,"Dahej, Gujarat",2019-10-31,2019-11-15,27.121875,0 days,1
1751141,2019-11-30,10331,360.476,Power Industry,"Dahej, Gujarat",2019-11-15,2019-11-30,26.94375,0 days,0
1754009,2019-12-15,10331,207.457,Power Industry,"Hazira, Gujarat",2019-11-30,2019-12-15,25.60677083333333,0 days,0
1754648,2019-12-31,10331,621.329,Power Industry,"Dahej, Gujarat",2019-12-15,2019-12-31,22.81838235294118,0 days,1
1756349,2020-01-15,10331,31.423,Power Industry,"Hazira, Gujarat",2019-12-31,2020-01-15,22.04427083333333,0 days,1
1759188,2020-01-31,10331,5.818,Power Industry,"Hazira, Gujarat",2020-01-15,2020-01-31,21.609803921568627,0 days,1
1759860,2020-02-29,10331,199.032,Power Industry,"Hazira, Gujarat",2020-02-29,2020-02-29,25.65833333333333,0 days,0
1760530,2020-03-15,10331,314.99,Power Industry,"Hazira, Gujarat",2020-02-29,2020-03-15,24.51848958333333,0 days,1
1762068,2020-03-30,10331,0.0,Power Industry,"Dahej, Gujarat",2020-03-15,2020-03-30,29.366666666666667,0 days,0
3304252,2020-04-15,10331,205.795,Power Industry,"Hazira, Gujarat",2020-03-31,2020-04-15,30.34765625,0 days,3
